skillid,skillname,category,reviewer,star,title,date,content
B07HNYG832,Amity,Local,J.,5.0 out of 5 stars,Find Lodges anywhere!,"Reviewed in the United States on September 28, 2018","The Amity skill for Alexa helps you find Lodges anywhere in the world.  You can also verify your visitors, just by asking ""Alexa, ask Amity if a Brother from ____ Lodge in ______ can visit my Lodge.""  Pretty cool that you don't need a book anymore."
B07BKQJNF3,Voice Tickets,Local,Artie,1.0 out of 5 stars,I couldn’t get it to price nhl,"Reviewed in the United States on March 25, 2018",I couldn’t get this to price out anything but red Sox tickets. Tried for 20 min and all it did was make me late for an appoin
B01N7RIR32,Black Rock Countdown,Local,Geekette,5.0 out of 5 stars,Beautiful and simple,"Reviewed in the United States on April 18, 2017",It's good to know how long I have until I go back home (and how long I have to finish putting everything together!)
B072WNGBNS,GroupValet,Local,Andrea N.,5.0 out of 5 stars,Five Stars,"Reviewed in the United States on June 2, 2018",Easy to connect - very cool
B06Y1T5J1T,Hi Karl - Your Evening Genie,Local,Amazon Customer,1.0 out of 5 stars,Didn't work for me.,"Reviewed in the United States on June 19, 2017",App could not find Concerts other bands in my area.
B06Y1T5J1T,Hi Karl - Your Evening Genie,Local,Amazon Customer,5.0 out of 5 stars,Cool idea & fun brand,"Reviewed in the United States on May 30, 2017",Cool and intuitive way to access concerts around. Only several cities supported though - tried NYC and Nashville. Really like the feature to ask for venues calendar directly - 'Who's playing at Good Room this weekend'. (sometime needs a bit of emphasis on the AT ;) )
B074S8GX6B,Missoula Events,Local,Gabriel S,5.0 out of 5 stars,Love it!,"Reviewed in the United States on August 18, 2017",This is awesome!!!
B074S8GX6B,Missoula Events,Local,J,5.0 out of 5 stars,Fantastic skill!,"Reviewed in the United States on November 30, 2017",Works as described. A must have for all Missoulians!!!
B06XWQJCYG,Date Ideas,Local,DCchic,1.0 out of 5 stars,Terrible,"Reviewed in the United States on January 12, 2021",clean the house together? go a night with no technology? have a picnic in rhe middle of winter??? no thanks......
B06XWQJCYG,Date Ideas,Local,CCM324,5.0 out of 5 stars,stop fighting over what to do!,"Reviewed in the United States on April 10, 2017","We used to bicker about each other's indecisiveness with date nights; ""what do you want to do?"" ""I don't care, what do you want to do"", well bicker no more! Alexa was already the supreme dictator of our household, but NOW she has solved our 'friday night fights'! When Alexa says 'jump' we say 'how high', and when Alexa says 'go to the movies', WE GO! This app has truly taken our relationship to the next level. Between this and the 'tell me what we should eat' skill, we can focus more of our time debating about who should do the dishes and laundry like normal people!"
B06XWQJCYG,Date Ideas,Local,Amazon Customer,5.0 out of 5 stars,Very Helpful I Love This App,"Reviewed in the United States on March 30, 2017",Great way to find New thing For us Do we love this app From Alexa
B06XWQJCYG,Date Ideas,Local,Marc Messier,5.0 out of 5 stars,Fun stuff!,"Reviewed in the United States on March 28, 2017",Great ideas for dates!
B074GTSZ53,Farmington Hills Attractions,Local,Anthony Shui,5.0 out of 5 stars,useful!,"Reviewed in the United States on November 8, 2019",love the restaurant feature!
B074PZQTXG,Trumpcaster,Local,Chico,5.0 out of 5 stars,Too Funny!!!,"Reviewed in the United States on November 7, 2019","Whether you like him or not, this parody of Prez Trump giving the weather, plus his view on some person or situation, is a hoot!!!"
B074PZQTXG,Trumpcaster,Local,wrshpr655,4.0 out of 5 stars,"I'm not on the Trump train, but I think it's funny 😂","Reviewed in the United States on August 13, 2017","When asked for the weather it responded ""It's 69 degrees and cloudy, you better stay inside and hide like Hilary."" When asked a second time received a different response ""It's 69 degrees and it's a great day to be president! Any other reports are fake news like CNN on election polls""."
B074PZQTXG,Trumpcaster,Local,Pat B.,4.0 out of 5 stars,Its funny,"Reviewed in the United States on August 14, 2017","If you absolutely hate Trump, skip it. If you're not a hater, it's funny. Not the best impression, but still funny. If you ask for the trumpcast more than once it'll give you the same weather, and a new twist. Amusing!"
B074PZQTXG,Trumpcaster,Local,theenoid,3.0 out of 5 stars,Funny!,"Reviewed in the United States on December 5, 2018",But doesn't want to work all the time. Very picky with how you ask. No luck in getting it to work for other locations.
B074PZQTXG,Trumpcaster,Local,Ronald E. Smith,4.0 out of 5 stars,Funny,"Reviewed in the United States on March 19, 2018","I see terrible reviews based on people hate for the president and see see terrible reviews by people who think it is disrespectful to the president they love.  Get over yourselves people.  This is plain and simple, a funny app.  It tells the current weather.  If it would tell the hourly weather, I would give it five stars."
B074PZQTXG,Trumpcaster,Local,Victoria,5.0 out of 5 stars,This is fantastic! #maga,"Reviewed in the United States on February 21, 2019",This is what Alexa skills are all about.
B074PZQTXG,Trumpcaster,Local,Amazon Customer,5.0 out of 5 stars,Nailed it!,"Reviewed in the United States on January 4, 2018","The voice actor is spot on, mixes and matches variety of trumps mannerisms when reading the weather."
B074PZQTXG,Trumpcaster,Local,Amazon Customer,5.0 out of 5 stars,i gotta admit its a pretty funny way to get the,"Reviewed in the United States on August 14, 2017","although im not a fan of trump, i gotta admit its a pretty funny way to get the weather"
B074PZQTXG,Trumpcaster,Local,Jeremy Moore,5.0 out of 5 stars,really great,"Reviewed in the United States on June 27, 2019",my fiancé and i really love it
B074PZQTXG,Trumpcaster,Local,Ivana,5.0 out of 5 stars,Hilarious!,"Reviewed in the United States on August 16, 2017","OMG! Trump the weather man! So, so funny."
B074PZQTXG,Trumpcaster,Local,Ian,5.0 out of 5 stars,Funny,"Reviewed in the United States on February 23, 2018",Its funny.
B074PZQTXG,Trumpcaster,Local,krischon,5.0 out of 5 stars,👍🏼👍🏼👍🏼,"Reviewed in the United States on January 15, 2019",😂😂👍🏼👍🏼🥰🥰
B074PZQTXG,Trumpcaster,Local,Anthony S.,5.0 out of 5 stars,Funny. Love it.,"Reviewed in the United States on April 14, 2018",It’s good for a laugh. Try it out.
B074PZQTXG,Trumpcaster,Local,Anders Vognsvend Williams,5.0 out of 5 stars,Amazing!,"Reviewed in the United States on January 16, 2018","OMG that is amazing, a smile on my face every morning from now on!"
B074PZQTXG,Trumpcaster,Local,Scotty Pitts,5.0 out of 5 stars,THIS THING IS SOOOOO FUNNY,"Reviewed in the United States on November 29, 2017","I LOVE this skill, even if you voted for him you will laugh your face off and shoot milk out of your nose."
B074PZQTXG,Trumpcaster,Local,Indy Rog,5.0 out of 5 stars,Awesome! That I Can Tell You.,"Reviewed in the United States on January 23, 2018",This skill is hilarious. I hope they continue to add new reports as they start to repeat if you check it regularly. If they do that then this thing is a keeper. A Trump spin on news with weather would be equally as awesome if done right.
B074PZQTXG,Trumpcaster,Local,April,4.0 out of 5 stars,Made me laugh,"Reviewed in the United States on January 29, 2018",It sounds like him and it’s funny! What more could you want?!
B074PZQTXG,Trumpcaster,Local,rodney,4.0 out of 5 stars,Funny,"Reviewed in the United States on December 28, 2017",Lol
B074PZQTXG,Trumpcaster,Local,Michael M.,5.0 out of 5 stars,Hysterical!,"Reviewed in the United States on May 12, 2018",Great for a laugh. Creators need to expand on this to other ideas.... like giving the news.
B074PZQTXG,Trumpcaster,Local,Josh Walker,5.0 out of 5 stars,Hilarious,"Reviewed in the United States on December 18, 2017",Love it. Works without any issues and the impersonation is great!
B074PZQTXG,Trumpcaster,Local,Amazon Customer,4.0 out of 5 stars,Nice,"Reviewed in the United States on January 5, 2018",Please make this so I can add it to my routine please!
B074PZQTXG,Trumpcaster,Local,Matt S.,5.0 out of 5 stars,I'm dying!,"Reviewed in the United States on December 1, 2017","Love everything about it, it's so funny!"
B074PZQTXG,Trumpcaster,Local,Mystery Maven,5.0 out of 5 stars,"Not a Detailed Forecast, but Fun!","Reviewed in the United States on January 13, 2018","Anything that can make me smile in the morning is a good thing. The voice acting is excellent. He doesn't give as detailed a forecast,  but the quips that are included are funny. Not for liberals or Never Trumpers--this Trump-based skill is all MAGA!"
B074PZQTXG,Trumpcaster,Local,MikeM,5.0 out of 5 stars,10 Stars,"Reviewed in the United States on January 8, 2018",Fabulous. Hilarious. Best skill ever. Seriously.
B074PZQTXG,Trumpcaster,Local,Ezequiel D'Amico,5.0 out of 5 stars,Just GREAT!,"Reviewed in the United States on August 14, 2017",Much much better than any other weather skill
B074PZQTXG,Trumpcaster,Local,Kales,5.0 out of 5 stars,This is great. Believe me!,"Reviewed in the United States on December 19, 2017",Making Alexa great again!
B074PZQTXG,Trumpcaster,Local,Nabel,5.0 out of 5 stars,Very funny!,"Reviewed in the United States on March 24, 2018",This is the funniest thing ever! So funny to hear this grumpy president forecasting the weather! I can't stop laughing!
