skillid,skillname,category,reviewer,star,title,date,content
B07D23VSGQ,Science History of The Day,Kids,Larry S. Mitchell,5.0 out of 5 stars,"Befuddling my friends, inspiring the kids, looking forward to looking back each day!","Reviewed in the United States on May 21, 2018","This pushes the right buttons for me. I like science and history. It's cool to know what happened in history on a particular day. Plus, I get to befuddle my friends with my newfound knowledge. Definitely good for inspiring kids to learn science and history. I'm looking forward to looking back each day!"
B078RHN2SH,The Trailman Oath and Motto,Kids,Mark T. Hancock,5.0 out of 5 stars,"Thanks, Bedells!","Reviewed in the United States on December 8, 2019","Walk Worthy! Especially you, Little Hawk!"
B07R3DF63G,Bamboo Books,Kids,Amy M.,5.0 out of 5 stars,This is so GREAT!!!!,"Reviewed in the United States on May 8, 2019","I heard about Bamboo Books through a friend and thought it was an interesting concept.  My daughter is dyslexic and struggles with reading and actually absorbing what she is reading.  I went on and tried it out for myself and loved it.  Turns out, I can use it, too!  It plays passages from various books and then asks questions about what was just read to you.  I found it easy to use and it was good at directing my focus once I understood how it worked.  I can't wait to do this with my children.  I am sure they will love it, too!"
B07R3DF63G,Bamboo Books,Kids,D. Sorenson,5.0 out of 5 stars,Love that this provides such an easy way to practice listening,"Reviewed in the United States on January 13, 2020","Outside of me reading to my kids myself, this app is the next best thing. When I'm making breakfast or getting a little work done, it feels like this app turns the kitchen into a mini neighborhood library. And I love that they can do something they like--talk with Alexa--and it gets them to actively listen and engage. I know this makes me sound old, but so many digital distractions seem designed to help kids disengage. Also, the book options are great."
B07R3DF63G,Bamboo Books,Kids,botanica,5.0 out of 5 stars,Win-Win!,"Reviewed in the United States on January 16, 2020","This has been an incredible addition to our media-based kiddo life. I often struggle at that intersection of passive/distraction and active/engaging entertainment and found this to be the latter. My five-year-old loves it, and I feel good about it - win-win!"
B07R3DF63G,Bamboo Books,Kids,Kyle,1.0 out of 5 stars,crap app,"Reviewed in the United States on January 2, 2021","i ask Alexa to help me fall asleep (for my 4 year old) and it gives me this as an option for bed time stories. ""great"" i think, until i discover that every time a paragraph finishes it requires some kind of response.just read stories and stop asking questions."
B07R3DF63G,Bamboo Books,Kids,S. E. Lee,5.0 out of 5 stars,Good learning tool to keep kids reading,"Reviewed in the United States on December 24, 2019","Our kids have enjoyed listening and reading along, especially at bed time or when they're feeling tired. It's especially helpful if one of them has read the book already. Then, they listen/read along and get more out of it - or discover what they missed in the first reading. It's something they can do on their own, but we also like to read with them and share the story. It's a good addition to our home library."
B07R3DF63G,Bamboo Books,Kids,Gladys Mendez,1.0 out of 5 stars,questions not good,"Reviewed in the United States on April 2, 2021",defective
B07R3DF63G,Bamboo Books,Kids,Yanna ,5.0 out of 5 stars,Twin Mom,"Reviewed in the United States on July 19, 2019","My daughters loved it! They’re 6 years old, level 1 was perfect for them."
B07R3DF63G,Bamboo Books,Kids,Matt Shannon,5.0 out of 5 stars,great alternative to reading to the kids!,"Reviewed in the United States on January 16, 2020","My kids really enjoyed listening and reading along, and this is a great alternative if I don't have the time to sit down and read to them at night. I feel like they are absorbing more from Bamboo Books versus when I read to them. Can't wait for more content to be added!"
B07R3DF63G,Bamboo Books,Kids,Cathy M,5.0 out of 5 stars,Engaging and Educational,"Reviewed in the United States on January 16, 2020","I tried Bamboo Books with my nephews recently. It was fun to ""discuss"" the stories while listening and reading along on their Fire tablet. The experience was much more engaging than me reading to them and we were able to have a conversation about the stories. They were still talking about several characters the following day."
B07R3DF63G,Bamboo Books,Kids,Francesca ,5.0 out of 5 stars,So AMAZING!,"Reviewed in the United States on December 21, 2019","I was baby-sitting my friend's nephew last week, getting so frustrated because this boy would NOT stop moving, when I decided to try out Bamboo Books. I'd heard rumors of Edutainment, but didn't know it was a REAL THING! He got so absorbed into Alexa reading Rumpelstiltzkin, by the time his mamma got home she didn't recognize the calm little boy sitting at the dinner table. Love it!"
B07R3DF63G,Bamboo Books,Kids,JRV,5.0 out of 5 stars,Must Have,"Reviewed in the United States on August 7, 2019",Great for keeping the mind sharp
B07R3DF63G,Bamboo Books,Kids,Ashley C,5.0 out of 5 stars,bop,"Reviewed in the United States on June 18, 2019",I liked it
B07R3DF63G,Bamboo Books,Kids,One Furious MacBook User,1.0 out of 5 stars,one star,"Reviewed in the United States on May 15, 2020",one star
B078XJ4768,Categories,Kids,VL Garcia,4.0 out of 5 stars,fun  game for kids,"Reviewed in the United States on February 23, 2022",Our kids love playing this game. would love more categories so it dossnt get boring
B078XJ4768,Categories,Kids,kenneth d.,1.0 out of 5 stars,crappy,"Reviewed in the United States on December 13, 2020",it is sending msgs and luanching in amazon in spanish even though its marked english in settings
B078XJ4768,Categories,Kids,Brad Smith,5.0 out of 5 stars,Awesome Alexa skill,"Reviewed in the United States on January 16, 2018",My son loves it! Awesome Alexa skill!
B078XJ4768,Categories,Kids,Jill Garrett,5.0 out of 5 stars,Good app for Language Development.,"Reviewed in the United States on October 11, 2018",Great for building language skills in young children.
B078XJ4768,Categories,Kids,were,1.0 out of 5 stars,Horrible. Pointless. Worst game ever.,"Reviewed in the United States on February 3, 2018",Horribleness
B078XJ4768,Categories,Kids,Brian Bergin,1.0 out of 5 stars,Lame,"Reviewed in the United States on January 20, 2018",Beyond lame. Why it requires 5 minutes of permissions and multiple passwords to enable is beyond understanding.
